combo,replication,revenue,perfect,difference
6,18,107664,111618,0.035424394
6,19,118332,120000,0.0139
6,20,45282,68160,0.335651408
6,21,75408,98304,0.232910156
6,22,51156,75924,0.326220958
6,23,53652,78240,0.314263804
6,24,84834,101070,0.16064114
6,25,65082,88944,0.268281166
6,26,116304,120000,0.0308
6,27,62826,86028,0.269702887
6,28,103296,109812,0.059337777
6,29,114666,116946,0.019496178
6,30,94962,106722,0.110192837
6,31,76368,97290,0.215047795
6,32,118506,120000,0.01245
6,33,90630,104154,0.129846189
6,34,68904,92004,0.25107604
6,35,106266,111294,0.045177638
6,36,45930,71232,0.355205526
6,37,62238,84792,0.265992075
6,38,72840,96540,0.245494096
6,39,47586,73200,0.349918033
6,40,33756,51084,0.339206014
6,41,71418,95220,0.249968494
6,42,110370,113016,0.023412614
6,43,81888,99654,0.178276838
6,44,70416,92664,0.24009324
6,45,120000,120000,0.0
6,46,35436,55320,0.359436009
6,47,95364,106296,0.102844886
6,48,90522,104898,0.137047417
6,49,92022,105084,0.12430056
7,0,118320,120000,0.014
7,1,65844,87870,0.250665756
7,2,65976,89736,0.264776678
7,3,52572,77940,0.325481139
7,4,73380,95748,0.233613235
7,5,80352,98856,0.187181355
7,6,62784,85332,0.264238504
7,7,102048,110700,0.078157182
7,8,107412,112098,0.041802708
7,9,102312,109806,0.068247637
7,10,70596,93456,0.244607088
7,11,60876,84996,0.28377806
7,12,117132,120000,0.0239
7,13,102588,109722,0.065018866
7,14,116220,117570,0.011482521
7,15,115272,117006,0.014819753
7,16,115368,117198,0.015614601
7,17,54600,79284,0.311336461
7,18,96684,107778,0.102933808
7,19,41400,63636,0.349424854
7,20,84696,101112,0.162354617
7,21,40644,62040,0.344874275
7,22,85896,102168,0.159267089
7,23,56748,82128,0.309029807
7,24,102936,110670,0.069883437
7,25,116100,118932,0.023811926
7,26,91164,105000,0.131771429
7,27,115596,117048,0.012405167
7,28,108684,112560,0.034434968
7,29,100980,109878,0.080980724
7,30,58032,82260,0.29452954
7,31,24672,38004,0.350805178
