combo_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
184,60,60,60,60,60,60,54,54,54,54,48,36,36,36,36
185,60,60,60,60,60,60,54,54,54,54,36,36,36,36,36
186,60,60,60,60,60,60,54,54,54,48,48,48,48,48,48
187,60,60,60,60,60,60,54,54,54,48,48,48,48,48,36
188,60,60,60,60,60,60,54,54,54,48,48,48,48,36,36
189,60,60,60,60,60,60,54,54,54,48,48,48,36,36,36
190,60,60,60,60,60,60,54,54,54,48,48,36,36,36,36
191,60,60,60,60,60,60,54,54,54,48,36,36,36,36,36
192,60,60,60,60,60,60,54,54,54,36,36,36,36,36,36
193,60,60,60,60,60,60,54,54,48,48,48,48,48,48,48
194,60,60,60,60,60,60,54,54,48,48,48,48,48,48,36
195,60,60,60,60,60,60,54,54,48,48,48,48,48,36,36
196,60,60,60,60,60,60,54,54,48,48,48,48,36,36,36
197,60,60,60,60,60,60,54,54,48,48,48,36,36,36,36
198,60,60,60,60,60,60,54,54,48,48,36,36,36,36,36
199,60,60,60,60,60,60,54,54,48,36,36,36,36,36,36
200,60,60,60,60,60,60,54,54,36,36,36,36,36,36,36
201,60,60,60,60,60,60,54,48,48,48,48,48,48,48,48
202,60,60,60,60,60,60,54,48,48,48,48,48,48,48,36
203,60,60,60,60,60,60,54,48,48,48,48,48,48,36,36
204,60,60,60,60,60,60,54,48,48,48,48,48,36,36,36
205,60,60,60,60,60,60,54,48,48,48,48,36,36,36,36
206,60,60,60,60,60,60,54,48,48,48,36,36,36,36,36
207,60,60,60,60,60,60,54,48,48,36,36,36,36,36,36
208,60,60,60,60,60,60,54,48,36,36,36,36,36,36,36
209,60,60,60,60,60,60,54,36,36,36,36,36,36,36,36
210,60,60,60,60,60,60,48,48,48,48,48,48,48,48,48
211,60,60,60,60,60,60,48,48,48,48,48,48,48,48,36
212,60,60,60,60,60,60,48,48,48,48,48,48,48,36,36
213,60,60,60,60,60,60,48,48,48,48,48,48,36,36,36
214,60,60,60,60,60,60,48,48,48,48,48,36,36,36,36
215,60,60,60,60,60,60,48,48,48,48,36,36,36,36,36
216,60,60,60,60,60,60,48,48,48,36,36,36,36,36,36
217,60,60,60,60,60,60,48,48,36,36,36,36,36,36,36
218,60,60,60,60,60,60,48,36,36,36,36,36,36,36,36
219,60,60,60,60,60,60,36,36,36,36,36,36,36,36,36
220,60,60,60,60,60,54,54,54,54,54,54,54,54,54,54
221,60,60,60,60,60,54,54,54,54,54,54,54,54,54,48
222,60,60,60,60,60,54,54,54,54,54,54,54,54,54,36
223,60,60,60,60,60,54,54,54,54,54,54,54,54,48,48
224,60,60,60,60,60,54,54,54,54,54,54,54,54,48,36
225,60,60,60,60,60,54,54,54,54,54,54,54,54,36,36
226,60,60,60,60,60,54,54,54,54,54,54,54,48,48,48
227,60,60,60,60,60,54,54,54,54,54,54,54,48,48,36
228,60,60,60,60,60,54,54,54,54,54,54,54,48,36,36
229,60,60,60,60,60,54,54,54,54,54,54,54,36,36,36
230,60,60,60,60,60,54,54,54,54,54,54,48,48,48,48
231,60,60,60,60,60,54,54,54,54,54,54,48,48,48,36
