combo,replication,revenue,perfect,difference
21,25,113580,114876,0.01128173
21,26,117618,120000,0.01985
21,28,110532,112488,0.017388521
21,30,114480,115608,0.00975711
21,32,117216,120000,0.0232
21,44,115482,115962,0.004139287
21,45,115248,116808,0.01335525
21,47,117006,120000,0.02495
22,1,108858,112662,0.033764712
22,4,113652,114990,0.011635794
22,8,115848,120000,0.0346
22,11,117564,120000,0.0203
22,13,115962,117192,0.010495597
22,15,116796,120000,0.0267
22,17,108486,111066,0.023229431
22,19,112656,114840,0.019017764
22,20,116862,120000,0.02615
22,21,108978,111930,0.026373626
22,22,116622,120000,0.02815
22,23,105690,110154,0.040525083
22,27,111684,113970,0.02005791
22,28,109116,112044,0.026132591
22,40,113262,117102,0.032791925
22,44,105606,110508,0.044358779
22,45,117048,120000,0.0246
22,47,112380,115242,0.024834696
23,1,116316,120000,0.0307
23,3,116046,120000,0.03295
23,4,117870,120000,0.01775
23,9,104430,109374,0.045202699
23,12,112638,113292,0.005772694
23,14,117366,120000,0.02195
23,15,111612,113220,0.014202438
23,19,107718,111618,0.034940601
23,22,106182,110700,0.040813008
23,27,114594,117792,0.027149552
23,28,114030,114438,0.003565249
23,29,115764,120000,0.0353
23,34,113640,115752,0.018245905
23,40,115704,120000,0.0358
23,43,113142,114810,0.014528351
23,44,112422,112944,0.004621759
24,7,111096,114174,0.026958852
24,8,104160,109518,0.048923465
24,13,116532,120000,0.0289
24,14,107556,111516,0.035510599
24,17,110406,113982,0.031373375
24,18,112158,115548,0.029338457
24,19,109248,112104,0.025476343
24,20,115254,119820,0.038107161
24,21,108816,110928,0.019039377
24,24,116682,120000,0.02765
24,27,104952,109278,0.039587108
24,28,117444,120000,0.0213
24,29,114822,117336,0.021425649
24,30,106422,109638,0.029332896
24,31,114204,117126,0.024947492
24,35,113790,116844,0.026137414
24,37,111180,113274,0.018486149
24,49,108570,111654,0.027621044
25,1,104334,109104,0.043719754
25,4,118050,120000,0.01625
25,8,112458,117060,0.039313173
25,10,106116,110190,0.036972502
25,12,104802,109080,0.039218922
25,14,104094,109356,0.048118073
25,17,106458,110304,0.034867276
